message,label
Congratulations You won a free iPhone,spam
Meeting at 10 AM tomorrow,ham
Claim your prize now,spam
Project submission is due today,ham
Win cash rewards instantly,spam
Lets have lunch together,ham
Limited offer Buy now,spam
Your assignment has been graded,ham
Click here to claim your lottery prize,spam
Are you free this evening,ham
Exclusive offer just for you,spam
Dont forget tomorrows class,ham
You have won 50000 cash Click now,spam
Please attend the meeting at 2 PM,ham
